https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume XRP,Volume EUR,tradecount
1601510400000,2020-10-01,XRPEUR,0.2073,0.2094,0.2,0.20388,315620.3,64977.144375,466
1601424000000,2020-09-30,XRPEUR,0.20753,0.20755,0.20409,0.20729,139951.4,28813.809768,379
1601337600000,2020-09-29,XRPEUR,0.20683,0.21174,0.20415,0.20753,522770.9,108994.477421,547
1601251200000,2020-09-28,XRPEUR,0.20979,0.21341,0.20683,0.20786,234415.9,49446.956583,486
1601164800000,2020-09-27,XRPEUR,0.2098,0.21103,0.2054,0.20943,107057.6,22250.540514,370
1601078400000,2020-09-26,XRPEUR,0.20894,0.2116,0.20591,0.20884,175134.8,36553.153564,331
1600992000000,2020-09-25,XRPEUR,0.19987,0.21136,0.1982,0.20886,315205.7,64588.056975,593
1600905600000,2020-09-24,XRPEUR,0.19,0.20053,0.18935,0.1996,388622.2,75820.830326,523
1600819200000,2020-09-23,XRPEUR,0.2,0.20219,0.19,0.19052,362924.6,71507.875602,642
1600732800000,2020-09-22,XRPEUR,0.19685,0.20133,0.1961,0.2,360921.7,71800.825634,464
1600646400000,2020-09-21,XRPEUR,0.20797,0.20981,0.19635,0.19692,616788.4,125128.751339,909
1600560000000,2020-09-20,XRPEUR,0.21193,0.21277,0.20648,0.20895,243953.3,51144.225883,382
1600473600000,2020-09-19,XRPEUR,0.21257,0.21633,0.20998,0.21342,394413.5,84098.751781,477
1600387200000,2020-09-18,XRPEUR,0.21454,0.21654,0.20888,0.21175,521889.7,111249.701153,621
1600300800000,2020-09-17,XRPEUR,0.21149,0.22015,0.21013,0.21392,436491.6,93600.70152,647
1600214400000,2020-09-16,XRPEUR,0.20637,0.21331,0.19925,0.21058,479634.0,99415.328259,614
1600128000000,2020-09-15,XRPEUR,0.208,0.21098,0.20554,0.20595,325181.8,67615.778299,499
1600041600000,2020-09-14,XRPEUR,0.204,0.21047,0.20345,0.20773,484646.5,100975.410712,349
1599955200000,2020-09-13,XRPEUR,0.21061,0.2146,0.20161,0.20555,493121.6,102527.599516,444
1599868800000,2020-09-12,XRPEUR,0.20592,0.21158,0.20428,0.20997,199160.0,41634.224736,202
1599782400000,2020-09-11,XRPEUR,0.20735,0.20761,0.20131,0.20599,192880.7,39551.813477,210
1599696000000,2020-09-10,XRPEUR,0.20441,0.21087,0.20418,0.20651,235438.4,48978.626579,313
1599609600000,2020-09-09,XRPEUR,0.20192,0.20696,0.19907,0.20379,262579.2,53504.25196,384
1599523200000,2020-09-08,XRPEUR,0.20576,0.20727,0.19717,0.20163,360581.2,72764.765451,475
1599436800000,2020-09-07,XRPEUR,0.20512,0.20661,0.19571,0.20592,413121.5,83286.069387,456
1599350400000,2020-09-06,XRPEUR,0.19977,0.20703,0.19651,0.20437,718376.1,145114.548697,348
1599264000000,2020-09-05,XRPEUR,0.21654,0.22013,0.19629,0.19874,794304.8,163030.379465,576
1599177600000,2020-09-04,XRPEUR,0.20561,0.22535,0.20449,0.21716,859092.0,184821.032246,659
1599091200000,2020-09-03,XRPEUR,0.23396,0.23462,0.20287,0.20812,905836.7,198804.585148,1011
1599004800000,2020-09-02,XRPEUR,0.24925,0.256,0.22487,0.23481,1182749.0,280657.878089,1327
1598918400000,2020-09-01,XRPEUR,0.2359,0.25205,0.23163,0.24906,656934.9,161229.38725,963
1598832000000,2020-08-31,XRPEUR,0.23964,0.24,0.23443,0.23666,222021.4,52600.617046,479
1598745600000,2020-08-30,XRPEUR,0.23155,0.23923,0.23155,0.23914,183653.2,43488.132245,304
1598659200000,2020-08-29,XRPEUR,0.23041,0.23361,0.22758,0.23167,145136.4,33579.830515,246
1598572800000,2020-08-28,XRPEUR,0.22456,0.23096,0.222,0.22993,256193.9,58334.221488,419
1598486400000,2020-08-27,XRPEUR,0.23584,0.23646,0.2172,0.22429,632450.5,143161.209117,925
1598400000000,2020-08-26,XRPEUR,0.234,0.23864,0.23344,0.23548,279297.1,65926.335926,450
1598313600000,2020-08-25,XRPEUR,0.24606,0.24734,0.22916,0.23539,742604.6,175750.66955,828
1598227200000,2020-08-24,XRPEUR,0.24242,0.24817,0.24054,0.24639,285426.7,70010.069164,431
1598140800000,2020-08-23,XRPEUR,0.24452,0.2452,0.23666,0.24366,212814.6,51092.611345,369
1598054400000,2020-08-22,XRPEUR,0.23808,0.24398,0.23296,0.24398,200028.1,47612.860955,345
